APP NAME,CATEGORY,RATING,REVIEWS,SIZE,INSTALLS,TYPE,LAST UPDATED,CURRENT VERSION,ANDROID VERSION
Udemy,Educational,4.3,406000,17,10M+,FREE,11-Dec-23,9.23.0,7.0 and up
Duolingo,Educational,4.5,19000000,33,500M+,PAID,8-Dec-23,5.132.2,9 and up
Seekho,Educational,4.5,4245000,23,5M+,FREE,12-Dec-23,1.10.82,5.0 and up
Unacademy,Educational,4,1000000,69,50M+,PAID,8-Dec-23,6.114.0,5.0 and up
Testbook App,Educational,4.5,666000,46,10M+,FREE,1-Dec-23,7.18.1,5.0 and up
Mathway,Educational,3.9,400000,19,50M+,FREE,30-Nov-23,5.6.1,8.0 and up
Brainly,Educational,4.2,3000000,32,100M+,PAID,7-Dec-23,5.171.0,8.0 and up
Sketchbook,ART AND DESIGN,4.1,553000,78,100M+,FREE,27-Jul-23,6.0.4,9 and up
Freepik,ART AND DESIGN,3.9,743000,5,100K+,PAID,8-Nov-23,2.4.2,8.0 and up
Canva,ART AND DESIGN,4.4,10000000,10,10M+,FREE,12-Dec-23,2.242,6.0 and up
Adobe Express,ART AND DESIGN,4.4,3467000,64,10M+,FREE,11-Dec-23,8.25,8.0 and up
Crafto,ART AND DESIGN,4.3,4100000,42,10M+,PAID,12-Dec-23,5.6.9,5.0 and up
Photoleap,ART AND DESIGN,4.2,100000,165,10M+,FREE,13-Dec-23,1.41.1,8.0 and up
Behance,ART AND DESIGN,4.6,1000000,46,10M+,FREE,11-Dec-23,7.3.3,8.0 and up
Instagram,SOCIAL,4.2,10000000,59,5B+,PAID,12-Dec-23,311.0.0.32.118,9 and up
Snapchat,SOCIAL,3.9,30000000,45,1B+,FREE,6-Dec-23,12.64.0.42,5.0 and up
Facebook,SOCIAL,4.05,130000000,66,5B+,FREE,12-Dec-23,444.0.0.31.114,11 and up
Telegram,SOCIAL,4.2,10000000,40,1B+,PAID,3-Dec-23,10.3.2,6.0 and up
NGL:anonymous q&a,SOCIAL,4.3,600000,35,50M+,FREE,13-Dec-23,2.3.26,7.0 and up
Moj,SOCIAL,4.25,1700000,64,100M+,PAID,4-Dec-23,2023.23.4,5.0 and up
Josh,SOCIAL,4.1,900000,49,100M+,PAID,27-Nov-23,8.7.11,7.0 and up
Picsart,PHOTOGRAPHY,4.2,10000000,29,1B+,FREE,12-Dec-23,23.8.7,6.0 and up
B612 Camera & Photo,PHOTOGRAPHY,4.2,7100000,35,500M+,PAID,18-Oct-23,12.3.15,8.0 and up
Remini,PHOTOGRAPHY,4.4,3200000,66,100M+,FREE,14-Dec-23,3.7.462.202310416,7.0 and up
Facelab,PHOTOGRAPHY,3.9,600000,25,10M+,PAID,15-Nov-23,4.3.1,6.0 and up
ToonApp,PHOTOGRAPHY,4,2200000,27,50M+,FREE,12-Dec-23,2.6.37,6.0 and up
Photo Mixer,PHOTOGRAPHY,4.6,20000000,19,1M+,PAID,30-Nov-23,5.2.1,5.0 and up
Collage Maker,PHOTOGRAPHY,4.7,2900000,12,100M+,FREE,20-Nov-23,2.19.143,7.0 and up
Myntra,SHOPPING,4.4,4200000,18,100M+,FREE,22-Nov-23,4.2311.20,5.0 and up
Flipkart,SHOPPING,4.2,40000000,20,500M+,PAID,26-Nov-23,7.77,5.1 and up
Amazon,SHOPPING,4,8900000,65,100M+,FREE,29-Nov-23,26.23.0.3000,9 and up
Meesho,SHOPPING,4.4,3700000,14,100M+,PAID,14-Dec-23,17.1,5.0 and up
Lenskart,SHOPPING,4.1,400000,38,100M+,PAID,8-Dec-23,4.0.7,5.0 and up
Zalando,SHOPPING,4.4,1000000,24,50M+,FREE,1-Dec-23,23.20.0,9 and up
Puma,SHOPPING,4.7,69000000000,54,1M+,PAID,1-Dec-23,1.5.4,7.0 and up
